client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
630268023b226b178ae60d72deca150cca0343f99cace56469943be8cb75dd622640bb7d4e1276d5f9be3ce2a5ea3d75c9d138abc9c727b64f0e324bbc65efa3	common_voice_am_37782217.mp3	11aed9ccf4024f50cb5d3d01547a038498eb8a6b337269942f2087197858d437	በአውሮፓውያኑ አስራምስት ዘጠና ሰባት ጃፓን ሀያ ስድስት ሚስዮናውያንን የሰቀለች ሲሆን የክርስትና እምነት ተከታዮችም መሳደድ ጀመሩ።		0	2					am	
630268023b226b178ae60d72deca150cca0343f99cace56469943be8cb75dd622640bb7d4e1276d5f9be3ce2a5ea3d75c9d138abc9c727b64f0e324bbc65efa3	common_voice_am_37782586.mp3	3a3202c214f656e101a4b4e2c4369ebefdebe7ef00deb548735ab5df7607132b	ልክ ከሱ ጋር የተደረገ ቃለ ምልልስ በማስመሰል በአርቲፊሻል ኢንተለጀንስ አማካይነት ቃለ ምልልስ ተዘጋጅቶ በመጽሔት ታትሟል።		1	2	thirties	male_masculine			am	
630268023b226b178ae60d72deca150cca0343f99cace56469943be8cb75dd622640bb7d4e1276d5f9be3ce2a5ea3d75c9d138abc9c727b64f0e324bbc65efa3	common_voice_am_37790333.mp3	56734f78a3697d8f22c1eddeb1ffff2597c61b2ba168aeeef3254a201eee3a0f	የሩሲያ ኦርቶዶክስ ቤተክርስትያን ከፕሬዝደንት ቭላድሚር ፑቲን ጋር በመወገን የሩሲያን ወረራ ደግፋለች።		1	2	thirties	male_masculine			am	
630268023b226b178ae60d72deca150cca0343f99cace56469943be8cb75dd622640bb7d4e1276d5f9be3ce2a5ea3d75c9d138abc9c727b64f0e324bbc65efa3	common_voice_am_37790591.mp3	64043634baf459a9ccdcbe3da16a996eca4de9ce7e30f83e0d8a7868ff8538c0	የሮማውያን ጭፍሮች በየሄዱበት አካባባቢ ሰዎችን መስቀልን ይለማመዱ ነበር ይላሉ።		0	2	thirties	male_masculine			am	
630268023b226b178ae60d72deca150cca0343f99cace56469943be8cb75dd622640bb7d4e1276d5f9be3ce2a5ea3d75c9d138abc9c727b64f0e324bbc65efa3	common_voice_am_37790593.mp3	01a3b1bf5f2aeae5de4ace64bf13f1158dae7fd20e4e8e2acac5f7a65101ef9c	መፈንቅለ መንግሥት ከተካሄደ በኋላ የጦር ጄኔራሎች ሉዓላዊ ምክር ቤት የሚባል አካል አቋቁመው አገሪቱን እየመሩ ይገኛሉ።		0	2	thirties	male_masculine			am	
630268023b226b178ae60d72deca150cca0343f99cace56469943be8cb75dd622640bb7d4e1276d5f9be3ce2a5ea3d75c9d138abc9c727b64f0e324bbc65efa3	common_voice_am_37790616.mp3	578ce34bbc64d749f29fca9d58399e865f21f856c7a7cd03aba6ca8957904cfa	ድንቅ አቋም ላይ የሚገኙ ሌሎች ኢትዮጵያውያን አትሌቶችም የውድድሩ ተሳታፊ እና ተጠናቂ ናቸው።		0	2	thirties	male_masculine			am	
630268023b226b178ae60d72deca150cca0343f99cace56469943be8cb75dd622640bb7d4e1276d5f9be3ce2a5ea3d75c9d138abc9c727b64f0e324bbc65efa3	common_voice_am_37790625.mp3	59d0b3f064f8ecc06bda0e02e423ce5144d6f637525e3aa657ff249792f1001a	ፖሊስ ከትኩስ የመቃብር ስፍራ የሰዎችን አስክሬን በቁፋሮ ነው ያገኘው		1	2	thirties	male_masculine			am	
630268023b226b178ae60d72deca150cca0343f99cace56469943be8cb75dd622640bb7d4e1276d5f9be3ce2a5ea3d75c9d138abc9c727b64f0e324bbc65efa3	common_voice_am_37790626.mp3	0906139935fcfea541d53ddf6f6b2e1a426ae16b90732d25d525fda87efe7914	ታዲያ የቱ መንገድ ነው የሚመከረው?		0	2	thirties	male_masculine			am	
630268023b226b178ae60d72deca150cca0343f99cace56469943be8cb75dd622640bb7d4e1276d5f9be3ce2a5ea3d75c9d138abc9c727b64f0e324bbc65efa3	common_voice_am_37791285.mp3	6a4706ccd3fbf56310cb5688689e9e285aeb861285b8d948a72261773bc78fc6	እነርሱም የቋሚውን ርዝመት የምንለካበት ዘንግ ስለሌለን እባክህ ዘንጉን ስጠንና ቋሚውን እናምጣ አሉት፡፡		0	2	thirties	male_masculine			am	
630268023b226b178ae60d72deca150cca0343f99cace56469943be8cb75dd622640bb7d4e1276d5f9be3ce2a5ea3d75c9d138abc9c727b64f0e324bbc65efa3	common_voice_am_37791304.mp3	0ac6b5ece53f926f05dd2e3552bb4d6e6272b4659b90bf5af557f65b85d3c2cd	ግብጽ የግድቡ ግንባታ የዐባይን የውሃ መጠን በመገደብ ለሕልውናዬ ያሰጋል ትላለች።		0	2	thirties	male_masculine			am	
8d98209b9033a72361c743ad0fbca484c92c2d6ca30262ec145f42226b86e35c6444e260b9f1958024a43d8de33fa0ed702e6ed90ba8c96f97c87315398d98a9	common_voice_am_37792183.mp3	3f1c81e4da94a7e197fd69fd4e97a25ecba38e4be1f54921a90b7e62a0ade088	ህመምን በመቀነስ ረገድ ውጤታማ መሆናቸውን ገልጸው በተደጋጋሚ መጠቀም ግን ችግሮችን ሊያስከትሉ እንደሚችሉ ጠቁመዋል።		1	2	thirties	male_masculine			am	
8d98209b9033a72361c743ad0fbca484c92c2d6ca30262ec145f42226b86e35c6444e260b9f1958024a43d8de33fa0ed702e6ed90ba8c96f97c87315398d98a9	common_voice_am_37792185.mp3	579d06ceb52f04c7643aa9601a1099fca2d6e29067723dc77d49e51de8c0ce44	የብልጽግና ጉዟችንም ከዕንቅፋቶች የጸዳ አይሆንም።		0	2	thirties	male_masculine			am	
