sentence_id	sentence	sentence_domain	source	is_used	clips_count
004854b6a2bc05d66ca66b71d372e69ad5741fae53265162300d34ea3e709a5a	ከብቶች ያገኘው ከብቶቹን መሸጥ ይችላል፡፡		sentence-collector	1	0
00c8de1f1f9151677d8dd02f61920aad8c30bc48eaa49bb0d456692de5faa67b	ከጦርነቱ በኋላ የአገሪቱ የነዳጅ ኢንዱስትሪ በከፍተኛ ሁኔታ እየተመነደገ ቢገኝም በርካቶች በአስቸጋሪ ሁኔታ ኑሯቸውን ለመግፋት ተገደዋል።		sentence-collector	1	0
03b92720588b9362075fd9d64a846865fcb3d1482747f6ea6c3f1e017dbacda7	ረደም ተብሎ በሚጠራ ቦታ ብዙ ታጣቂዎች መስፈራቸውን ምንጮች ጠቁመዋል።		sentence-collector	1	0
042e16df5ab555fa0bb7f24930af3d1f7996a973630436e61b43c1a8bce9f4da	ኢትዮጵያ በአባይ ወንዝ ላይ በገነባችው ግዙፍ የኤሌትሪክ ኃይል ማመንጫ ታላቁ የሕዳሴ ግድብ የተነሳ ውዝግቡ በርትቷል		Custom	1	0
044e19a8ec672c37c19235ea8a25c6cbeb80a516a0c62e8819c4a2cbf32e12ed	የቄጠማው መጎዝጎዝ እና የእንኳን አደረሳችሁ መልካም ምኞት በምግብ እና በመጠጡ ላይ የሚጨመሩ ሰበዞች ናቸው።		sentence-collector	1	0
04988a43b6b5b2af2b953761dd6dc24fd84a7df13b06219f387bb57f74e584fc	???? ???? ??????? ????? ???? ??? ???? ??? ??? ??? ??? ????? ??? ????		https://github.com/asmelashteka/HornMT/blob/main/data/amh.txt	1	0
04a34102c6f724a950f7b6782d09f583830c8af75eaafb1c3d4718b001bc44a6	የአብርሃ ፅሁፎች የአክሱማዊነትን ማንነትና በአክሱማዊው አገዛዝ ላይ ያለውን ተፅእኖ እንዴት ያንፀባርቃሉ? 	history_law_government	THE JEWS AND CHRISTIANS OF PRE-ISLAMIC YEMEN (ḤIMYAR) AND THE ELUSIVE MATRIX OF THE QUR’ĀN’S CHRISTOLOGY Carlos A. Segovia Saint Louis University – Madrid Campus, Spain segoviaca@slu.edu	1	0
055b35f6d7fb965c7877f2ae1345ba556b2ecee37c0a89dd9cbb6ed997997ea1	ጀነራሎቹ ግን ሌላኛውን መንገድ መረጡ።		sentence-collector	1	0
07c68219ef7186fa453218009c17cd921f3fa50fa1f9b0044d16fdc3ea32cfae	በጥንታዊቷ እስራኤል ሮማውያን ከመምጣታቸው በፊትም ቢሆን ሰዎች በስቅላት ይቀጡ ነበር።		sentence-collector	1	0
09a2fd6ac13f07d1ffb84747d5e4138b345ba0abf10193e281e2fd54642abbcf	በተለይም የወር አበባዬ በሚመጣበት ወቅት የሚያጋጥመኝ ከማያቋርጥ ሆድ ቁርጠት እፎይታ አግኝቻለሁ ትላለች።		sentence-collector	1	0
